TIME     I(1.660000000e+01,1.100000000e+01,12) Vin(2.520000000e+00,2.190000000e+00) 
0.000000000e+00  5.357140000e-01 6.060610000e-02 
9.995000000e-06  5.357140000e-01 6.060610000e-02 
1.999000000e-05  5.714290000e-01 3.030300000e-02 
2.998500000e-05  5.714290000e-01 6.060610000e-02 
3.998000000e-05  6.071430000e-01 6.060610000e-02 
4.997500000e-05  6.071430000e-01 6.060610000e-02 
5.997000000e-05  6.428570000e-01 6.060610000e-02 
6.996500000e-05  6.428570000e-01 3.030300000e-02 
7.996000000e-05  6.428570000e-01 3.030300000e-02 
8.995500000e-05  6.785710000e-01 3.030300000e-02 
9.995000000e-05  6.785710000e-01 6.060610000e-02 
1.099450000e-04  8.214290000e-01 3.030300000e-02 
1.199400000e-04  7.142860000e-01 3.030300000e-02 
1.299350000e-04  7.500000000e-01 3.030300000e-02 
1.399300000e-04  7.500000000e-01 6.060610000e-02 
1.499250000e-04  7.500000000e-01 6.060610000e-02 
1.599200000e-04  7.857140000e-01 6.060610000e-02 
1.699150000e-04  7.857140000e-01 3.030300000e-02 
1.799100000e-04  7.857140000e-01 6.060610000e-02 
1.899050000e-04  7.857140000e-01 3.030300000e-02 
1.999000000e-04  8.214290000e-01 6.060610000e-02 
2.098950000e-04  7.857140000e-01 3.030300000e-02 
2.198900000e-04  8.214290000e-01 3.030300000e-02 
2.298850000e-04  8.214290000e-01 6.060610000e-02 
2.398800000e-04  8.571430000e-01 6.060610000e-02 
2.498750000e-04  8.214290000e-01 6.060610000e-02 
2.598700000e-04  8.571430000e-01 3.030300000e-02 
2.698650000e-04  8.571430000e-01 3.030300000e-02 
2.798600000e-04  8.571430000e-01 3.030300000e-02 
2.898550000e-04  8.571430000e-01 3.030300000e-02 
2.998500000e-04  8.571430000e-01 3.030300000e-02 
3.098450000e-04  8.571430000e-01 6.060610000e-02 
3.198400000e-04  8.571430000e-01 3.030300000e-02 
3.298350000e-04  8.571430000e-01 6.060610000e-02 
3.398300000e-04  8.571430000e-01 3.030300000e-02 
3.498250000e-04  8.571430000e-01 3.030300000e-02 
3.598200000e-04  8.571430000e-01 3.030300000e-02 
3.698150000e-04  8.571430000e-01 3.030300000e-02 
3.798100000e-04  8.571430000e-01 3.030300000e-02 
3.898050000e-04  8.571430000e-01 3.030300000e-02 
3.998000000e-04  8.928570000e-01 6.060610000e-02 
4.097950000e-04  8.214290000e-01 3.030300000e-02 
4.197900000e-04  8.214290000e-01 3.030300000e-02 
4.297850000e-04  8.214290000e-01 3.030300000e-02 
4.397800000e-04  8.214290000e-01 3.030300000e-02 
4.497750000e-04  7.857140000e-01 3.030300000e-02 
4.597700000e-04  7.857140000e-01 6.060610000e-02 
4.697650000e-04  7.857140000e-01 3.030300000e-02 
4.797600000e-04  7.857140000e-01 3.030300000e-02 
4.897550000e-04  7.857140000e-01 6.060610000e-02 
4.997500000e-04  7.500000000e-01 6.060610000e-02 
5.097450000e-04  7.500000000e-01 6.060610000e-02 
5.197400000e-04  7.500000000e-01 6.060610000e-02 
5.297350000e-04  7.500000000e-01 3.030300000e-02 
5.397300000e-04  7.142860000e-01 3.030300000e-02 
5.497250000e-04  7.142860000e-01 3.030300000e-02 
5.597200000e-04  7.142860000e-01 6.060610000e-02 
5.697150000e-04  7.142860000e-01 6.060610000e-02 
5.797100000e-04  7.142860000e-01 6.060610000e-02 
5.897050000e-04  6.785710000e-01 3.030300000e-02 
5.997000000e-04  6.785710000e-01 3.030300000e-02 
6.096950000e-04  6.785710000e-01 3.030300000e-02 
6.196900000e-04  6.785710000e-01 3.030300000e-02 
6.296850000e-04  6.428570000e-01 3.030300000e-02 
