 TIME y u
  1.00000000   0.00000000   2.71089909 
  2.00000000   0.00000000   4.29344667 
  3.00000000   6.24015525  -3.78590885 
  4.00000000 -10.88032050  -1.74609341 
  5.00000000   8.66139381   5.20667783 
  6.00000000  -2.32808244  -3.40283409 
  7.00000000  -2.18567101  -2.18468616 
  8.00000000   0.59465542  -4.89190183 
  9.00000000  -5.82320424  -6.61684492 
 10.00000000  -0.90145334   3.44831080 
 11.00000000   4.25228599  -3.71176856 
 12.00000000  -7.43556191  -3.35471721 
 13.00000000   2.90312678  -8.48956001 
 14.00000000 -10.22453769  -8.35584466 
 15.00000000  -0.10847907   6.20779835 
 16.00000000   7.87598290   4.93702890 
 17.00000000  -3.34128558  -5.22187173 
 18.00000000  -1.83290700  -1.72528657 
 19.00000000  -0.17780764  -5.03093979 
 20.00000000  -4.75150279  -1.09952361 
 21.00000000   3.18502707   2.58500096 
 22.00000000   0.23235044   2.96585526 
 23.00000000   2.17791930  -1.15591824 
 24.00000000  -2.61110634  -3.51727237 
 25.00000000  -1.56417891   1.15171404 
 26.00000000   2.94475143   3.09117288 
 27.00000000   0.49838127   1.12747072 
 28.00000000   0.20020107  -3.18615624 
 29.00000000  -3.04271034  -2.58714016 
 30.00000000  -0.13359467   4.23065246 
 31.00000000   4.82176649  -4.90140421 
 32.00000000  -9.66423374  -1.39150063 
 33.00000000   7.34168525  -7.78255454 
 34.00000000 -13.59978046  -4.03776302 
 35.00000000   6.77623807  -2.30494897 
 36.00000000  -6.02133810  -4.03068497 
 37.00000000  -1.14937770   5.15929989 
 38.00000000   8.59125259  -6.43206147 
 39.00000000 -16.05228777   2.52797879 
 40.00000000  17.92484527 -14.99420380 
 41.00000000 -30.62212354   0.02155568 
 42.00000000  25.82712487  -2.03608313 
 43.00000000 -21.44407230  -2.60304463 
 44.00000000  11.48401061  -3.31073848 
 45.00000000  -7.64813700  -1.76014067 
 46.00000000  -0.75086041  -2.86905809 
 47.00000000   3.14237480  -9.08953217 
 48.00000000 -16.25671724  -2.64515047 
 49.00000000  15.18714419  -2.66437247 
 50.00000000 -17.78881802   6.12550993 
 51.00000000  21.83359517  -1.36191356 
 52.00000000 -19.17564998   2.81850697 
 53.00000000  16.85498880   1.58607351 
 54.00000000  -9.38964609  -2.52557803 
 55.00000000   1.25118079   1.11800605 
 56.00000000   4.44971211   0.09027659 
 57.00000000  -7.59235186  -4.35212838 
 58.00000000   5.26567068  -9.24838917 
 59.00000000 -15.58623269   2.23864088 
 60.00000000  17.15324025  -1.59772465 
 61.00000000 -16.50657633  -7.01577632 
 62.00000000   5.86980577  -6.31180303 
 63.00000000  -8.71577407  -5.41348136 
 64.00000000  -0.42703654  -5.09631452 
 65.00000000  -1.80767484   2.72187073 
 66.00000000   1.97169102  -2.23902340 
 67.00000000  -2.00388226  -1.94120551 
 68.00000000  -1.72929028  -1.73841266 
 69.00000000   1.31694116  -5.43998100 
 70.00000000  -7.53983905  -7.41157359 
 71.00000000   0.02704252  -9.44577097 
 72.00000000  -9.42656276  -3.14875255 
 73.00000000   5.47805128  -8.80483796 
 74.00000000 -13.23378254  -9.21391871 
 75.00000000   1.91251242  -5.65536123 
 76.00000000  -5.70640818  -2.66397032 
 77.00000000   1.00529671  -0.50537344 
 78.00000000   0.31949060  -0.13580751 
 79.00000000  -1.87351923  -5.60479373 
 80.00000000  -2.74171872   0.55537766 
 81.00000000   2.19012962  -1.85156761 
 82.00000000  -3.03456651   1.06289449 
 83.00000000   3.26815379  -8.10562597 
 84.00000000 -10.30729044   4.99014694 
 85.00000000  13.50489242  -1.29823240 
 86.00000000 -11.95137284   2.54074305 
 87.00000000  11.00573825  -2.57472707 
 88.00000000  -9.59108043  -0.65669016 
 89.00000000   4.72305478  -3.38539239 
 90.00000000  -4.25187123   0.03716995 
 91.00000000   0.78235123  -3.04515113 
 92.00000000  -0.82926008 -11.60511670 
 93.00000000 -13.21013656   0.89147313 
 94.00000000  14.75998115   1.45197966 
 95.00000000 -12.37846995   0.65733649 
 96.00000000  10.97785082  -4.66748055 
 97.00000000 -12.91711311  -9.54172597 
 98.00000000  -0.12237235  -5.33721004 
 99.00000000  -2.53643683  -1.49274183 
100.00000000  -1.28388746  -0.16906972 
101.00000000   2.82090059  -2.02963237 
102.00000000  -5.79879478  -2.32129152 
103.00000000   3.82073704   3.00795682 
104.00000000  -0.58307864   0.58638852 
105.00000000   1.04343817   0.22527993 
106.00000000  -0.66766012  -2.41774922 
107.00000000  -1.91243221  -2.74512349 
108.00000000  -0.96138608  -8.07956657 
109.00000000  -7.11382059  -4.79967867 
110.00000000   1.67309830  -6.82519156 
111.00000000  -7.89601543   1.47629620 
112.00000000   8.17658057  -6.95642456 
113.00000000 -13.25244565  -8.31312961 
114.00000000   2.16715520  -5.02150180 
115.00000000  -4.70032002  -0.68505206 
116.00000000   1.46193740   0.54235999 
117.00000000   1.25567815   5.12604237 
118.00000000   2.09478657  -6.03102549 
119.00000000  -6.48072666   0.25499562 
120.00000000   4.69236221  -3.63939505 
121.00000000  -6.25712367  -2.05144708 
122.00000000   2.05449469  -0.61386965 
123.00000000  -0.75815924  -3.21502860 
124.00000000  -3.96112891  -8.11820683 
125.00000000  -3.43645933  -4.44090166 
126.00000000  -1.77055229   0.65015510 
127.00000000   3.19108501   4.16129859 
128.00000000   0.69050858  -2.39196312 
129.00000000  -2.75250614  -0.32383833 
130.00000000   2.01503009  -4.04171399 
131.00000000  -5.25693898  -1.08112937 
132.00000000   3.08160797  -0.66633837 
133.00000000  -2.50709471  -0.89531440 
134.00000000   0.27594384  -1.50993179 
135.00000000  -0.75300784  -0.83332787 
136.00000000  -0.99653057  -9.40395706 
137.00000000  -7.81050489  -1.33809579 
138.00000000   5.22207265  -0.53493804 
139.00000000  -4.22910555  -3.32237859 
140.00000000  -0.86080647  -1.06883682 
141.00000000   1.18600427  -1.25760232 
142.00000000  -3.49101493  -4.34432153 
143.00000000  -0.33915824   2.36684447 
144.00000000   2.28459417  -4.00138757 
145.00000000  -5.79126248   1.98610591 
146.00000000   6.88754336  -9.12864400 
147.00000000 -14.54186196  -2.60385354 
148.00000000   9.30811133   2.01274908 
149.00000000  -4.26332479   0.86209248 
150.00000000   2.27365674   0.99248957 
151.00000000   1.25946670  -6.44381035 
152.00000000  -9.62992518   1.86871566 
153.00000000  11.99370748   3.70155227 
154.00000000  -7.50666726  -5.35533940 
155.00000000   0.78957792   2.28889788 
156.00000000   2.59951106  -5.27523364 
157.00000000  -8.61890540  -0.39475580 
158.00000000   8.09787863  -7.04214780 
159.00000000 -14.10664918  -5.33696954 
160.00000000   6.54076353   1.15552052 
161.00000000  -3.05981002  -0.22272173 
162.00000000   0.69096009  -2.23743204 
163.00000000  -1.15705098   2.33841651 
164.00000000   2.01731863  -8.05198948 
165.00000000  -8.57808638  -5.68827310 
166.00000000   0.82607588  -6.83083745 
167.00000000  -5.89116838  -2.28857752 
168.00000000   1.67915040   4.20712447 
169.00000000   4.12038948   1.61279587 
170.00000000  -3.38136877  -1.98910790 
171.00000000   1.68441010   0.13068539 
172.00000000  -1.60444832   8.58598054 
173.00000000  10.15689931  -4.42125241 
174.00000000 -13.39374347  -0.16938499 
175.00000000  10.82005299   1.99632422 
176.00000000  -5.91224904  -6.45473341 
177.00000000  -3.27218116   0.00604334 
178.00000000   4.99966285  -1.71450023 
179.00000000  -7.59956789   0.13618904 
180.00000000   7.73236331  -8.38170617 
181.00000000 -15.51714908  -4.25523217 
182.00000000   9.45975965   7.57327933 
183.00000000   0.42980170  -4.33915970 
184.00000000  -6.69156654  -1.99359523 
185.00000000   5.47990538   0.12763635 
186.00000000  -5.36614504   7.05504839 
187.00000000  11.94553139  -6.72143962 
188.00000000 -16.93645553  -4.60226605 
189.00000000   9.19542864 -10.96530222 
190.00000000 -16.59773461   1.78511236 
191.00000000  13.66620772  -4.90488978 
192.00000000 -13.61504692  -0.23758419 
193.00000000   8.04229778   2.47447484 
194.00000000  -0.54421857   1.00798584 
195.00000000  -2.67631056  -5.19758655 
196.00000000   0.52839262  -1.51903145 
197.00000000  -4.37618019  -2.31388832 
198.00000000   3.39789670  -4.19926635 
199.00000000  -8.33466056  -2.58580166 
200.00000000   5.51175838  -9.39267726 
201.00000000 -14.25870036  -3.75791520 
202.00000000   8.78670361  -7.56612959 
203.00000000 -14.19413689  -5.70643245 
204.00000000   5.28190110  -6.52703308 
205.00000000  -8.72883479  -3.03327443 
206.00000000   2.37006045  -8.04756562 
207.00000000  -7.50505767  -4.41125231 
208.00000000   0.01352708  -3.76043200 
209.00000000  -1.44180369  -3.06695864 
210.00000000  -3.74048168  -5.56318951 
211.00000000  -0.56151601  -2.69565396 
212.00000000  -3.17226523   0.25621718 
213.00000000   3.81293714  -3.05922102 
214.00000000  -6.85693916  -0.59035027 
215.00000000   5.37999961  -6.13766382 
216.00000000 -10.31165601  -6.32523882 
217.00000000   1.76580218  -5.11902071 
218.00000000  -4.90662311   0.83916068 
219.00000000   3.58041400 -11.68329780 
220.00000000 -13.13233053  -5.39432565 
221.00000000   4.80577556  -3.96390291 
222.00000000  -5.97964730   4.15690939 
223.00000000   7.30149888  -4.10815955 
224.00000000  -8.49682709  -7.26524103 
225.00000000  -1.88486263  -7.35114958 
226.00000000  -3.18759164  -1.47080225 
227.00000000  -0.48566279   1.48140515 
228.00000000   3.72545507  -6.21713576 
229.00000000 -10.80197238  -0.20124612 
230.00000000  10.21083132  -6.82202318 
231.00000000 -15.65534087 -12.82890125 
232.00000000   0.00180197   4.07117445 
233.00000000   6.31966908  -0.64333813 
234.00000000  -8.22704167   0.55960625 
235.00000000   9.10838836  -2.67118930 
236.00000000 -11.04457767   0.40314069 
237.00000000   9.82414829  -7.62674030 
238.00000000 -15.07990796  -2.55526412 
239.00000000   9.15719699  -7.32804272 
240.00000000 -12.94740856  -7.97887117 
241.00000000   0.82757136  -6.80495342 
242.00000000  -4.21788890   1.74839302 
243.00000000   2.69370840   5.83221731 
244.00000000   6.17119013  -1.57018935 
245.00000000  -9.61919371  -6.44875588 
246.00000000   3.86462077  -1.09645414 
247.00000000  -4.96593529  -1.73694174 
248.00000000   2.65608345  -4.56448744 
249.00000000  -6.48261036  -1.99173069 
250.00000000   3.40826559   1.19936260 
251.00000000  -1.01624953   2.36420140 
252.00000000   2.06553573  -0.94541566 
253.00000000  -1.84381090   0.12007844 
254.00000000   0.89824465  -3.37985999 
255.00000000  -3.20814992   2.86941999 
256.00000000   4.95185414   0.22985194 
257.00000000  -3.27989570  -8.55869172 
258.00000000  -6.60153091  -5.55843919 
259.00000000   1.51310439  -5.97571208 
260.00000000  -7.72302167  -2.30143880 
261.00000000   4.90870752  -0.76211660 
262.00000000  -4.73591841  -9.23958227 
263.00000000  -5.60973050  -6.11169758 
264.00000000  -0.08479582   1.92112431 
265.00000000   1.76350644  -4.95979170 
266.00000000  -6.43468442  -4.06257047 
267.00000000   1.53536750   1.34856686 
268.00000000   0.53971863  -3.28251140 
269.00000000  -4.23060886  -3.47170634 
270.00000000   0.56231749  -4.00499778 
271.00000000  -4.52214489   0.28229963 
272.00000000   4.45777367  -6.09992732 
273.00000000  -9.97716525   5.03230278 
274.00000000  13.70373724  -1.85222215 
275.00000000 -13.08887128   2.08840924 
276.00000000  11.90276119  -1.41287569 
277.00000000  -9.40540413  -7.24479288 
278.00000000  -1.99789735  -3.76520934 
279.00000000   1.52368039  -3.65428548 
280.00000000  -7.86495164   5.42225604 
281.00000000  14.54054001 -12.04122598 
282.00000000 -26.25699487  -2.15719979 
283.00000000  21.09509343   3.53357892 
284.00000000 -12.99484796  -3.30133399 
285.00000000   4.63955684  -0.46744591 
286.00000000  -0.79020084   3.36840910 
